Zomi,English,Myanmar
Kamvuicing khat gelh simin laimal masa pen a gol hi ding hi.,"When writing a complete sentence, the first letter must be capitalized.",ဝါကျတစ်ကြောင်း ရေးတိုင်း ပထမဆုံး စာလုံးကို အကြီးဖြင့် ရေးရမည်။
"Mi min gelh ciangin a malmalin kigelh ding a, a mal masa pen laimalpi hi ding hi.","When writing a person's name, it must be written word by word, and the first letter must be capitalized.",လူအမည်ကို ရေးသောအခါ တစ်လုံးချင်း ခွဲရေးရမည်ဖြစ်ပြီး ပထမဆုံး စာလုံးကို အကြီးဖြင့် ရေးရမည်။
"Minno a kigelh ciangin laimal masa pen laimal pi hi ding a, a vekin kimat khin ding hi.","When writing a nickname/small name, the first letter must be capitalized, and all letters must be joined together.",နာမည်ပြောင်/အမည်ငယ် ရေးသောအခါ ပထမဆုံး စာလုံးကို အကြီးဖြင့် ရေးရမည်ဖြစ်ပြီး အားလုံးကို ဆက်ရေးရမည်။
Kamhonna a om ciangin kamhonna mai-a laimal masa pen laimalpi hi ding hi.,"When there is an opening quotation mark, the first letter after it must be capitalized.",အဖွင့် မျက်တောင်ကွင်း ပါရှိပါက ယင်းနောက်မှ ပထမဆုံး စာလုံးကို အကြီးဖြင့် ရေးရမည်။
"Khua min, gun min, mual min a kipan nate min a kigelh ciangin laimal masa pen laimalpi hi dinga a vekin kimat khin ding hi.","When writing the names of villages, rivers, mountains, etc., the first letter must be capitalized, and all letters must be joined together.",ရွာအမည်၊ မြစ်အမည်၊ တောင်အမည် စသည်တို့ကို ရေးသောအခါ ပထမဆုံး စာလုံးကို အကြီးဖြင့် ရေးရမည်ဖြစ်ပြီး အားလုံးကို ဆက်ရေးရမည်။
Hih lai simbu sunga SINDING a kici teng sangnaupangte in hoih taka a theih khit ciangun SINNA-te sinsak pan ding hi.,Only after the students have well understood all the 'THINGS TO LEARN' in this primer book should they be taught the 'LESSONS'.,ဤဖတ်စာအုပ်ပါ 'သင်ယူရန်' ဆိုသည့်အရာအားလုံးကို ကျောင်းသားများ သေချာစွာ နားလည်ပြီးမှသာ 'သင်ခန်းစာ' များကို သင်ကြားပေးရမည်။
LAIMAL BULPITE,Main Alphabets,အခြေခံ အက္ခရာများ
LAIMAL PITE: A B C D E F G H I J K L M N O P Q R S T U V W X Y Z,Capital Letters: A B C D E F G H I J K L M N O P Q R S T U V W X Y Z,အက္ခရာအကြီး: A B C D E F G H I J K L M N O P Q R S T U V W X Y Z
LAIMAL NOTE: a b c d e f g h i j k l m n o p q r s t u v w x y z,Small Letters: a b c d e f g h i j k l m n o p q r s t u v w x y z,အက္ခရာအသေး: a b c d e f g h i j k l m n o p q r s t u v w x y z
AW SUAKSAKTE,Vowels,သရများ
a e i o u aw,a e i o u aw,a e i o u aw
SINNA 1,Lesson 1,သင်ခန်းစာ ၁
Mai gah ka duh hi.,I like pumpkin.,ကျွန်တော် ရွှေဖရုံသီး ကြိုက်တယ်။
Hakai a gai zo hi.,The mango tree has borne fruit.,သရက်ပင် သီးနေပြီ။
Akno a khe a bai hi.,The chick's leg is lame.,ကြက်ပေါက်စ ခြေထောက် ကျိုးနေတယ်။
Ka pu in sai a ai hi.,My grandfather charms the elephant.,ကျွန်တော့်အဘိုးက ဆင်ကို ဖမ်းတယ်။
Ka pa in dai a kai hi.,My father builds a fence.,ကျွန်တော့်အဖေ ခြံစည်းရိုး ခတ်တယ်။
Tano in hai gah a ne hi.,The child eats the mango.,ကလေးက သရက်သီး စားတယ်။
Laitaipa a pai baih hi.,The postman comes early.,စာပို့သမားက စောစောလာတယ်။
Lo kho pa in khai ci a tuh hi.,The farmer plants seeds.,တောင်သူက မျိုးစေ့ ကြဲတယ်။
Ka pa lo a vai pi za pha hi.,My father's farm is very large.,ကျွန်တော့်အဖေရဲ့ တောင်ယာက အရမ်းကျယ်တယ်။
Migi in a nu thu a ngai hi.,A good person listens to their mother.,လူလိမ္မာက သူ့အမေစကားကို နားထောင်တယ်။
SINNA 2,Lesson 2,သင်ခန်းစာ ၂
A nu aw a thei hi.,He knows his mother's voice.,သူ့အမေရဲ့အသံကို သူသိတယ်။
Na pu zu leih in.,Pour wine for your grandfather.,မင်းအဘိုးကို အရက်ငှဲ့ပေးပါ။
Nai ka nei nai kei hi.,I don't have a watch yet.,ငါ့မှာ နာရီ မရှိသေးဘူး။
Tu ni-in meii a kai hi.,It is cloudy today.,ဒီနေ့ တိမ်ထူတယ်။
Li vei ka khe a na hi.,My leg hurts for the fourth time.,လေးကြိမ်မြောက် ငါ့ခြေထောက် နာတယ်။
Na inn ka mu nai kei hi.,I haven't seen your house yet.,မင်းအိမ်ကို ငါ မတွေ့သေးဘူး။
Ka pa in hei a deih hi.,My father wants an axe.,ငါ့အဖေက ပုဆိန် လိုချင်တယ်။
Zulei in theigah a ne hi.,The squirrel eats fruit.,ရှဉ့်က သစ်သီးစားတယ်။
Meigei ah meilah a om hi.,There is a fire tong near the fire.,မီးဖိုနားမှာ မီးညှပ် ရှိတယ်။
"Ka leii a na a, za ka lei hi.","My tongue hurts, so I bought medicine.",ငါ့လျှာနာလို့ ဆေးဝယ်တယ်။
SINNA 3,Lesson 3,သင်ခန်းစာ ၃
Ngapi thau ne in.,Eat the fatty fish paste.,ငါးပိ အဆီ စားပါ။
Beli a gau ta hi.,The pot is dry now.,အိုး ခမ်းသွားပြီ။
Ka nau a lau kei hi.,My younger sibling is not afraid.,ကျွန်တော့် ညီ/ညီမ မကြောက်ဘူး။
An kihau in ki-um hi.,We have plenty of food and eat together.,အစားအစာပေါများပြီး အတူတကွ စားသောက်ကြတယ်။
Ka nu in tau a deih hi.,My mother wants a bronze pot.,ကျွန်တော့်အမေ ကြေးအိုး လိုချင်တယ်။
Kau in kha li a nei hi.,The locust has four wings.,ကျိုင်းကောင်မှာ အတောင်ပံ လေးခုရှိတယ်။
Pau Hau in thau a nei hi.,Pau Hau has a gun.,ပေါင်ဟောက်မှာ သေနတ်တစ်လက် ရှိတယ်။
Ka pa teipi a sau hi.,My father's spear is long.,ငါ့အဖေရဲ့ လှံက ရှည်တယ်။
Ngau mei a sau hi.,The monkey's tail is long.,မျောက်ရဲ့ အမြီးက ရှည်တယ်။
Khau-in a khih hi.,Tie it with a rope.,ကြိုးနဲ့ ချည်ထားပါ။
SINNA 4,Lesson 4,သင်ခန်းစာ ၄
Akno a keuh hi.,The chick hatches.,ကြက်ပေါက်စ ပေါက်လာတယ်။
Lawhta a neu hi.,The bird is small.,ငှက်ကလေးက သေးငယ်တယ်။
Lawhbeu va la in.,Go get the trap.,ထောင်ချောက် သွားယူပါ။
Guah a theu zo hi.,The rain has stopped.,မိုးတိတ်သွားပြီ။
Leikheu bu ka mu hi.,I see a grasshopper's nest.,နှံကောင်သိုက်ကို ငါတွေ့တယ်။
Keu-in an ka ne hi.,I eat food dryly.,ထမင်းကို ခြောက်သွေ့စွာ စားတယ်။
Buh seu za ka nei uh hi.,We have plenty of paddy.,ငါတို့မှာ စပါး အများကြီး ရှိတယ်။
Zawhngeu in no nih a nei hi.,The cat has two kittens.,ကြောင်မှာ ကြောင်လေး နှစ်ကောင်ရှိတယ်။
"Ni sa a, lei a keu leuleu hi.","The sun shines, and the earth dries up again.",နေပူလို့ မြေကြီး ပြန်ခြောက်သွေ့သွားတယ်။
A neu lai-in a nu thu a ngai hi.,"When he was young, he listened to his mother.",ငယ်စဉ်ကတည်းက သူ့အမေစကားကို နားထောင်တယ်။
Sa peuh buh peuh gah peuh ka ne hi.,"I eat any meat, paddy, or fruit.",အသား၊ စပါး၊ အသီး ဘာမဆို စားတယ်။
SINNA 5,Lesson 5,သင်ခန်းစာ ၅
Thusia na pau kei in.,Do not speak bad words.,မကောင်းသောစကား မပြောပါနှင့်။
Siapa inn ah a ciah hi.,The teacher went home.,ဆရာ အိမ်ပြန်သွားတယ်။
Bi inn a sia baih hi.,The church gets damaged easily.,ဘုရားကျောင်းက အလွယ်တကူ ပျက်စီးတယ်။
Thadahte a zia kai hi.,Lazy people are slow.,ပျင်းရိသူတွေက နှေးကွေးတယ်။
Ka nu in an a diah hi.,My mother soaks the rice.,ငါ့အမေက ဆန်စိမ်တယ်။
Laito ah lai kikhia hi.,Mail is dropped at the post office.,စာတိုက်မှာ စာထည့်တယ်။
Na lai na nau na pia in.,Give your book to your younger sibling.,မင်းရဲ့စာအုပ်ကို မင်းရဲ့ညီ/ညီမကို ပေးပါ။
Ngia in ngasa a ne kei hi.,The wild cat does not eat fish.,တောကြောင်က ငါးမစားဘူး။
"Hiah tu in la, pau kei in.",Sit here and do not speak.,ဒီမှာထိုင်ပြီး စကားမပြောပါနဲ့။
"I pute, i pate in dawi a bia uh hi.",Our ancestors worshipped spirits.,ငါတို့ ဘိုးဘွားတွေက နတ်ကိုးကွယ်ခဲ့ကြတယ်။
SINNA 6,Lesson 6,သင်ခန်းစာ ၆
Na nau kiu kei in.,Do not elbow your younger sibling.,မင်းရဲ့ ညီ/ညီမကို တံတောင်နဲ့ မတွတ်ပါနဲ့။
Ka pa a kiu a na hi.,My father's elbow hurts.,ငါ့အဖေရဲ့ တံတောင်ဆစ် နာတယ်။
Buh a vui ta hi.,The paddy is bearing grains.,စပါးနှံ ထွက်နေပြီ။
Ata in a pa a zui hi.,The child follows his father.,ကလေးက သူ့အဖေနောက် လိုက်တယ်။
Lui ah ngasa a siah hi.,He caught fish in the river.,မြစ်ထဲမှာ ငါးဖမ်းတယ်။
Buipi in lei a kei hi.,The mole digs the earth.,ပွေးက မြေကြီးကို တူးတယ်။
Na nu mui peipei kei in.,Do not tease your mother.,မင်းအမေကို မစနောက်ပါနဲ့။
Tui zeu ah ngasa a kah hi.,The fish swims up the waterfall.,ငါးက ရေတံခွန်ကို ဆန်တက်တယ်။
Sihui zui-in si a pai hi.,"Following the blood trail, the blood flows.",သွေးကြောင်းလိုက်ပြီး သွေးစီးတယ်။
"Ka pu khuisa a, ka pi a nui hi.","My grandfather teased, and my grandmother laughed.",ငါ့အဘိုးက စနောက်တော့ ငါ့အဘွားက ရယ်တယ်။
SINNA 7,Lesson 7,သင်ခန်းစာ ၇
Laitui a bua hi.,The ink spilled.,မင်ရည် ဖိတ်ကျသွားတယ်။
Ka nau ka pua hi.,I carry my younger sibling.,ကျွန်တော့် ညီ/ညီမကို ကျွန်တော် ကျောပိုးတယ်။
Zusa kua ka to hi.,I dig a rat hole.,ကြွက်တွင်းကို ငါတူးတယ်။
"Pateh gui a, a lua hi.",The yam vine is poisonous.,ပိန်းဥနွယ်က အဆိပ်ရှိတယ်။
Khua gei ah gua a po hi.,Bamboo grows near the village.,ရွာနားမှာ ဝါးပင် ပေါက်တယ်။
Ka pa inn luah ka hi hi.,I am the heir of my father's house.,ငါဟာ အဖေ့အိမ်ကို အမွေဆက်ခံသူဖြစ်တယ်။
Ka pa in nai a puah hi.,My father repairs the watch.,ငါ့အဖေက နာရီ ပြင်တယ်။
"Tun. in meii kai a, guah a zu hi.","Today is cloudy, and it is raining.",ဒီနေ့ တိမ်ထူပြီး မိုးရွာတယ်။
Laitai pa in lukhu a nei thuah hi.,The postman has an extra hat.,စာပို့သမားမှာ ဦးထုပ် ပိုပါလာတယ်။
"Ka nau neu lua a, a pai thei nai kei hi.",My younger sibling is too young and cannot walk yet.,ငါ့ညီ/ညီမက ငယ်လွန်းလို့ လမ်းမလျှောက်နိုင်သေးဘူး။
SINNA 8,Lesson 8,သင်ခန်းစာ ၈
Kaphi ka gawi uh hi.,We grind coffee.,ကျွန်တော်တို့ ကော်ဖီ ကြိတ်တယ်။
Vasa bu ka hawi hi.,I look at the bird's nest.,ငှက်သိုက်ကို ကျွန်တော် ကြည့်တယ်။
Boih mei a sau kei hi.,The monkey's tail is not long.,မျောက်အမြီးက မရှည်ဘူး။
Ka u in ngawi a dawh hi.,My older sibling sets a fish trap.,ငါ့အစ်ကိုက ငါးဖမ်းထောင်ချောက် ဆင်တယ်။
"Ngasa khawi a, a hau hi.",He breeds fish and becomes rich.,သူက ငါးမွေးပြီး ချမ်းသာလာတယ်။
Laibu a hoihin koih in.,Keep the book properly.,စာအုပ်ကို သေချာ သိမ်းထားပါ။
Zato ah cinate kikhoi hi.,Patients are treated in the hospital.,လူနာတွေကို ဆေးရုံမှာ ကုသတယ်။
Dawisapa in dawi a thoih hi.,The shaman makes an offering to the spirit.,နတ်ဆရာက နတ်တင်တယ်။
Ka nau tawh tui ka tawi uh hi.,My younger sibling and I carry water.,ငါနဲ့ ငါ့ညီ/ညီမ ရေခပ်တယ်။
"Lawi tawh lo kho a, an a hau hi.",He farms with a buffalo and has plenty of food.,ကျွဲနဲ့ လယ်ထွန်ပြီး အစားအစာ ပေါများတယ်။
SIMKIKNA,Review,ပြန်လည်သုံးသပ်ခြင်း
Mei-am na khoih kei in.,Do not touch the hot coals.,မီးခဲကို မကိုင်ပါနဲ့။
"Lo za kho a, an a hau hi.",He farms a wide field and has plenty of food.,လယ်ကျယ်ကျယ်ထွန်ပြီး အစားအစာ ပေါများတယ်။
Khau sau lua kikai-awk hi.,The long rope gets tangled.,ကြိုးရှည်လွန်းလို့ ရှုပ်ထွေးသွားတယ်။
"Tho baih in la, mei tawh in.",Get up early and make a fire.,စောစောထပြီး မီးမွှေးပါ။
"Radio ngai a, thu a thei hi.","Listening to the radio, he knows the news.",ရေဒီယိုနားထောင်ပြီး သတင်းသိတယ်။
Khapi ah mi a kah thei ta hi.,People can now go to the moon.,လူတွေ လပေါ်ကို သွားနိုင်နေပြီ။
Laito ah lailu kilei thei hi.,Stamps can be bought at the post office.,စာတိုက်မှာ တံဆိပ်ခေါင်း ဝယ်လို့ရတယ်။
"Khuapi guah zu a, khaici a tuh hi.","Heavy rain falls, and seeds are planted.",မိုးသည်းထန်စွာရွာပြီး မျိုးစေ့ ကြဲတယ်။
"Mi mai ah khuh kei-inla, ik kei in.",Do not cough or hiccup in front of people.,လူရှေ့မှာ မချောင်းဆိုးပါနဲ့၊ မကြို့ထိုးပါနဲ့။
Zawhngeu in a no a tuah kawikawi thei hi.,The cat can move its kittens around.,ကြောင်က သူ့ကြောင်လေးတွေကို နေရာရွှေ့ပြောင်းနိုင်တယ်။
SINNA 9,Lesson 9,သင်ခန်းစာ ၉
Kamsia na zang kei in.,Do not use bad words.,မကောင်းသောစကား မသုံးပါနှင့်။
Saham in ngasa a ne hi.,The otter eats fish.,ဖျံက ငါးကို စားတယ်။
Falam khua a gamla hi.,Falam town is far away.,ဖလမ်းမြို့က ဝေးတယ်။
Zan in bak a gam ta hi.,Bats fly out at night.,ညဘက် လင်းနို့တွေ ထွက်တယ်။
Gamlak-ah ka pai ngam kei hi.,I dare not go into the forest.,တောထဲကို ငါ မသွားရဲဘူး။
Nungak khat lokho ka mu hi.,I see a young woman farming.,လယ်ထွန်နေတဲ့ မိန်းမပျိုတစ်ယောက်ကို ငါတွေ့တယ်။
Tangval pa an lak ah a vak hi.,The young man walks among the crops.,လူပျိုက စိုက်ခင်းထဲမှာ လမ်းလျှောက်တယ်။
Thumangte in lai a thei baih uh hi.,Obedient people learn easily.,စကားနားထောင်သူတွေက ပညာလွယ်လွယ်တတ်တယ်။
Nidang lai-in sang tampi a om kei hi.,"In the past, there were not many schools.",အရင်တုန်းက ကျောင်း သိပ်မရှိဘူး။
Tu-in sang tampi a om hi.,Now there are many schools.,အခုတော့ ကျောင်းတွေ အများကြီးရှိတယ်။
SINNA 10,Lesson 10,သင်ခန်းစာ ၁၀
Na mawhna kisik kik in.,Repent your sins.,သင်၏ အပြစ်များကို နောင်တရပါ။
Mi mai ah limpha na hi in.,Be a good example in front of others.,သူတစ်ပါးရှေ့မှာ စံပြဖြစ်ပါစေ။
Bilpi tai a hat mahmah hi.,The rabbit runs very fast.,ယုန်က အရမ်းပြေးမြန်တယ်။
Singkang tawh mei a tawh hi.,He makes a fire with dry wood.,ထင်းခြောက်နဲ့ မီးမွှေးတယ်။
Ka pa in tang le vaimim a ciing hi.,My father plants paddy and corn.,ငါ့အဖေက စပါးနဲ့ ပြောင်းဖူး စိုက်တယ်။
Sangsiate in lai a hilh uh hi.,Teachers teach lessons.,ဆရာ၊ ဆရာမများက စာသင်ပေးတယ်။
Pilna ka ngah nading in lai ka sin hi.,I study to gain knowledge.,ပညာရဖို့ ငါ စာသင်တယ်။
Zingsang simin tho baih a lai a sim hi.,Every morning he gets up early and reads.,မနက်တိုင်း စောစောထပြီး စာဖတ်တယ်။
Ni simin lai na sim leh na pil ding hi.,"If you read every day, you will be smart.",နေ့တိုင်း စာဖတ်ရင် သင် ပညာတတ်လာမယ်။
"Zinling a mihing, ganhing tampi a si hi.","An earthquake occurred, and many people and animals died.",ငလျင်လှုပ်ပြီး လူနဲ့ တိရစ္ဆာန် အများကြီး သေဆုံးတယ်။
SINNA 11,Lesson 11,သင်ခန်းစာ ၁၁
Lam pelh a zui hi.,He took the wrong path.,သူ လမ်းမှား လိုက်သွားတယ်။
A mel a hoih hi.,Her face is beautiful.,သူမရဲ့ ရုပ်ဆင်းသွင်ပြင် လှပတယ်။
Taubel a to mahmah hi.,The bronze pot is very short/small.,ကြေးအိုးက အရမ်းတိုတယ်။
Kawin lai kibelh hi.,The paper is glued to the wall.,စာရွက်ကို နံရံမှာ ကပ်ထားတယ်။
Thukhente in thu a khen uh hi.,The judges judge the case.,တရားသူကြီးတွေက အမှုစစ်ဆေးတယ်။
Ka pa in tem in naang a lem hi.,My father cuts bamboo with a knife.,ငါ့အဖေက ဓားနဲ့ ဝါးကို ခုတ်တယ်။
Ka khua aveng a vengin kikhen hi.,My village is divided into wards.,ငါ့ရွာကို ရပ်ကွက်တွေ ခွဲထားတယ်။
Inntekpa in migilopa a delh pah hi.,The house owner immediately chases the bad guy.,အိမ်ရှင်က လူဆိုးကို ချက်ချင်း လိုက်ဖမ်းတယ်။
Tedim khua in Zomite' khuapi khat ahi hi.,Tedim town is a main town for the Zomi people.,တီးတိန်မြို့သည် ဇိုလူမျိုးများ၏ မြို့ကြီးတစ်မြို့ ဖြစ်သည်။
Ka khua ah mi a ten zawh khang tampi a pha hi.,People have lived in my village for many generations.,ငါ့ရွာမှာ လူတွေ နေထိုင်လာတာ မျိုးဆက် အများကြီး ရှိပြီ။
SINNA 12,Lesson 12,သင်ခန်းစာ ၁၂
Kei zong sang ka kah hi.,I also go to school.,ကျွန်တော်လည်း ကျောင်းတက်တယ်။
Tokhom ah ka tu hi.,I sit on the chair.,ကျွန်တော် ကုလားထိုင်ပေါ်မှာ ထိုင်တယ်။
Zolo-ah vom a ta hi.,Bears run in the high mountains.,တောင်ပေါ်မှာ ဝက်ဝံ ပြေးတယ်။
Tang laka lopate kibot hi.,Weeds in the paddy field are pulled out.,စပါးခင်းထဲက ပေါင်းပင်တွေကို နုတ်တယ်။
Kongka lai-ah ding kei in.,Do not stand in the doorway.,တံခါးဝမှာ မရပ်ပါနဲ့။
"Sakol in, a topa a thei hi.",The horse knows its master.,မြင်းက သူ့သခင်ကို သိတယ်။
"Siapa in, 'Hong pai in', a ci hi.","The teacher says, 'Come here.'",ဆရာက 'ဒီကိုလာပါ' လို့ ပြောတယ်။
Siapa thudotna theihnop ka sa hi.,I am interested in the teacher's question.,ဆရာ့မေးခွန်းကို ငါ စိတ်ဝင်စားတယ်။
Inn nuai-ah vok khawi a hoih kei hi.,It is not good to raise pigs under the house.,အိမ်အောက်မှာ ဝက်မွေးတာ မကောင်းဘူး။
"I pute, i pate in dol innka a dawh uh hi.",Our ancestors built wooden verandas.,ငါတို့ ဘိုးဘွားတွေက သစ်သား လသာဆောင် ဆောက်ခဲ့တယ်။
SINNA 13,Lesson 13,သင်ခန်းစာ ၁၃
"Lum baih in la, tho baih in.",Sleep early and wake up early.,စောစောအိပ်ပြီး စောစောထပါ။
Lungtang khat tek i nei hi.,We each have one heart.,ငါတို့အားလုံးမှာ နှလုံးသားတစ်ခုစီ ရှိတယ်။
Sazuk ki zatui in kizang hi.,Deer antlers are used as medicine.,သမင်ဂျိုကို ဆေးအဖြစ် သုံးတယ်။
"Ngakhuk to a, nga a khawi hi.",He digs a fish pond and breeds fish.,သူက ငါးကန်တူးပြီး ငါးမွေးတယ်။
"Bukkhuh vei a, a khuh niloh hi.",He caught a cold and coughs continuously.,သူ အအေးမိပြီး အဆက်မပြတ် ချောင်းဆိုးတယ်။
Nailung panin naikhau kingah hi.,Rubber thread is obtained from rubber sap.,ရာဘာစေးကနေ ရာဘာကြိုး ရတယ်။
Lai ka sin zawh kum nih pha hi.,I have been studying for two years.,ငါ စာသင်နေတာ နှစ်နှစ်ရှိပြီ။
Tedim gam ah khua tampi a om hi.,There are many villages in the Tedim region.,တီးတိန်နယ်မှာ ရွာတွေ အများကြီး ရှိတယ်။
Tembul a kip nangin gip tawh kibulh hi.,The knife handle is secured with a ring.,ဓားရိုးကို ခိုင်အောင် ကွင်းနဲ့ စွပ်ထားတယ်။
Pilna in ngun le kham sang in hoih zaw hi.,Wisdom is better than silver and gold.,ပညာသည် ငွေနှင့် ရွှေထက် ပို၍ ကောင်းမြတ်သည်။
SINNA 14,Lesson 14,သင်ခန်းစာ ၁၄
Na laibu na dawm in.,Hold your book gently.,မင်းရဲ့စာအုပ်ကို သေချာကိုင်ပါ။
Biakinn ah ka kikhawm uh hi.,We worship at the church.,ကျွန်တော်တို့ ဘုရားကျောင်းမှာ ဝတ်ပြုတယ်။
Lawmthot in tangham ka bot uh hi.,"With friends, we pull out the hard weeds.",သူငယ်ချင်းတွေနဲ့အတူ ပေါင်းပင်တွေကို နုတ်တယ်။
Naupangte in bawng a hawl uh hi.,The children herd the cows.,ကလေးတွေက နွားကျောင်းတယ်။
A migite in lawm tampi a nei uh hi.,Good people have many friends.,လူကောင်းတွေမှာ သူငယ်ချင်း အများကြီး ရှိတယ်။
Ka pa in tang seu sawmnga a la hi.,My father takes fifty bundles of paddy.,ငါ့အဖေက စပါး အစည်း ငါးဆယ် ယူတယ်။
Inn lai bawl ding phawk tawntung in.,Always remember to do housework.,အိမ်အလုပ်လုပ်ဖို့ အမြဲ သတိရပါ။
Cimawhte huhna in thupha bawlna ahi hi.,Helping the needy is doing a blessing.,ဆင်းရဲနွမ်းပါးသူတွေကို ကူညီတာဟာ ကောင်းမှုကုသိုလ် ပြုတာဖြစ်တယ်။
Bawlung kidemna-ah ko pawl in ka zo uh hi.,Our team won the football match.,ဘောလုံးပြိုင်ပွဲမှာ ကျွန်တော်တို့အသင်း နိုင်တယ်။
Kawlgam ah minam lian giat a om hi.,There are eight major ethnic groups in Myanmar.,မြန်မာနိုင်ငံမှာ တိုင်းရင်းသားလူမျိုးကြီး ရှစ်စု ရှိတယ်။
SINNA 15,Lesson 15,သင်ခန်းစာ ၁၅
Ka ni-in ka nu sam a hiatsak hi.,My aunt combs my mother's hair.,ငါ့အဒေါ်က ငါ့အမေရဲ့ ဆံပင်ကို ဖြီးပေးတယ်။
Meikiang ah niangbel a om hi.,There is a teapot near the fire.,မီးဖိုနားမှာ ရေနွေးကရား ရှိတယ်။
Lo lai-ah an le kiak pokhawmin a dum hi.,"In the field, crops and weeds grow together greenly.",လယ်ကွင်းထဲမှာ ကောက်ပဲသီးနှံနဲ့ ပေါင်းပင်တွေ စိမ်းလန်းစွာ ပေါက်နေတယ်။
Nidang lai-in khua sim-ah siampi a om ciat hi.,"In the past, there was a priest in every village.",အရင်တုန်းက ရွာတိုင်းမှာ နတ်ဆရာ တစ်ယောက်စီ ရှိတယ်။
A kipat cil-in Pasian in vantung le leitung a piangsak hi.,"In the beginning, God created the heaven and the earth.",အစအဦး၌ ဘုရားသခင်သည် ကောင်းကင်နှင့် မြေကြီးကို ဖန်ဆင်းတော်မူ၏။
"Khuakhal ciangin guntui kiam a, kingap thei hi.","In the dry season, the river water decreases and can be waded.",နွေရာသီမှာ မြစ်ရေကျပြီး ဖြတ်ကူးလို့ရတယ်။
